Source,district,month,year,visitors
domestic,Hyderabad,January,2019,1426500
domestic,Hyderabad,February,2019,983147
domestic,Hyderabad,March,2019,1009991
domestic,Hyderabad,April,2019,1045933
domestic,Hyderabad,May,2019,1305748
domestic,Hyderabad,June,2019,1262995
domestic,Hyderabad,July,2019,1094861
domestic,Hyderabad,August,2019,1121380
domestic,Hyderabad,September,2019,959930
domestic,Hyderabad,October,2019,1240643
domestic,Hyderabad,November,2019,1073665
domestic,Hyderabad,December,2019,1277569
domestic,Jagtial,January,2016,235490
domestic,Jagtial,February,2016,235490
domestic,Jagtial,March,2016,235490
domestic,Jagtial,April,2016,235490
domestic,Jagtial,May,2016,235490
domestic,Jagtial,June,2016,235490
domestic,Jagtial,July,2016,235490
domestic,Jagtial,August,2016,235490
domestic,Jagtial,September,2016,235490
